chunk_id,chunk_type,article_number,page_start,page_end,book,bab,fasl,box_ids,references,needs_review,review_reasons,text_preview
preamble,preamble,,3,3,,,,page_0003_raw_0010|page_0003_raw_0013|page_0003_raw_0006|page_0003_raw_0018|page_0003_raw_0021|page_0003_raw_0017|page_0003_raw_0019|page_0003_raw_0015|page_0003_raw_0020,3->article_3,False,,التجارة / قانون / رقم ٣٣ للعام ٢٠٠٧ / قانون التجارة / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / يلغى اعتباراً من التاريخ المنكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦٢م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٤٧٠٢ / م د م / يييي / وعلى ما أقرّه مج
article_unknown_1,article,,3,3,,,,page_0003_raw_0011|page_0003_raw_0007,,True,article_number_missing,المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه
article_unknown_2,article,,3,3,,,,page_0003_raw_0012|page_0003_raw_0008,,True,article_number_missing,المادة / يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق
article_unknown_3,article,,3,4,,,,page_0003_raw_0009|page_0003_raw_0002|page_0003_raw_0023|page_0003_raw_0022|page_0003_raw_0004|page_0003_raw_0003|page_0003_raw_0016|page_0003_raw_0014|page_0004_raw_0034,,True,article_number_missing,المادة / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١ / ١ ٤ ٢٠٠٨ / الموافق / _ / دمشق / ٢٩ ١ ٤٢٨ / اهر / ٩ ١٢ ٢٠٠٧م / الجمهورية / رئيس / بشار الأسد / عامة / أحكام
article_unknown_4,article,,4,4,,,,page_0004_raw_0033|page_0004_raw_0024,,True,article_number_missing,المادة / يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة
article_unknown_5,article,,4,4,,,,page_0004_raw_0028|page_0004_raw_0027,,True,article_number_missing,المادة / إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ـ على أن تطبق هذه الأحكام لا يكون إلأ على نسبة اتفاقها مع المبادئ المختصة / بالقانون التجاري والعرف التجاري
article_3,article,3,4,4,,,,page_0004_raw_0031|page_0004_raw_0025,,False,,المادة ٣ / إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمباديئ العدالة والإنصاف والاستقامة التجارية
article_4,article,4,4,5,,,,page_0004_raw_0030|page_0004_raw_0026|page_0005_raw_0040,,False,,المادة / ١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضأً مع النصوص / التشريعية الإلزامية / ٢ويعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام
article_5,article,5,5,5,,,,page_0005_raw_0041|page_0005_raw_0035,,False,,المادة / إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر المنشأت المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة
article_6,article,6,5,6,,,,page_0005_raw_0039|page_0005_raw_0038|page_0005_raw_0043|page_0005_raw_0045|page_0005_raw_0042|page_0005_raw_0044|page_0006_raw_0055|page_0006_raw_0062|page_0006_raw_0060|page_0006_raw_0065|page_0006_raw_0059|page_0006_raw_0058|page_0006_raw_0061|page_0006_raw_0056|page_0006_raw_0053|page_0006_raw_0054|page_0006_raw_0057|page_0006_raw_0063,,False,,المادة٦ / ثُعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثانية / جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة على الوجه / المبين فيما تقدم / د أعمال الصرافة والمبادلة المالية ومعاملات المصارف العامة والخاصة / همشروع التوريد / و مشروع المصانع وإن يكن مقترناً باستثمار زراعي، إلآ إذا كان تحويل المواد ي
