page,page_number,region_id,region_role,reading_order_start,reading_order_end,child_box_ids,bbox,quality_score,needs_review,review_reasons,suggested_actions,merge_reasons,text_preview
page_0003,3,page_0003_region_001,document_title,1,7,page_0003_001_doc_title|page_0003_002_text|page_0003_003_text|page_0003_004_text|page_0003_005_text|page_0003_006_text|page_0003_007_text,"(330, 272, 1303, 1227)",0.85,True,multiple_low_layout_scores,review_boxes_or_redetect_layout,start_region|title_followed_by_body|body_continuation,قانون التجارة / رقم *© للعام 0٠م‏ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ٤١ / الموافق٢١ / يلى / يصدر / المادة / تطبق أحكام
page_0003,3,page_0003_region_002,content_block,8,10,page_0003_008_paragraph_title|page_0003_009_text|page_0003_010_text,"(328, 1242, 1300, 1504)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body|body_continuation,المادة ؟ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١ / مشق فيموافق ٢
page_0003,3,page_0003_region_003,body_text,11,11,page_0003_011_text,"(363, 1519, 587, 1633)",1.0,False,,,new_region_after_gap_or_column_change,الجمهورية / رئيس / بشار الأسد
page_0004,4,page_0004_region_001,body_text,1,1,page_0004_001_text,"(740, 686, 920, 755)",1.0,False,,,start_region,أحكام عامة
page_0004,4,page_0004_region_002,content_block,2,3,page_0004_002_figure_title|page_0004_003_text,"(347, 766, 1325, 1007)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين 
page_0004,4,page_0004_region_003,content_block,4,5,page_0004_004_paragraph_title|page_0004_005_text,"(349, 1033, 1321, 1269)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة٢ / إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ٢ على أن تطبق هذه الأحكام لا يكون إلاآً على نسبة اتفاقها مع المبادىئ المختص
page_0004,4,page_0004_region_004,content_block,6,7,page_0004_006_paragraph_title|page_0004_007_text,"(352, 1293, 1329, 1472)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة٣ / إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائي وبمبادئ العدالة والإنصاف والاستقامة التجارية
page_0004,4,page_0004_region_005,content_block,8,9,page_0004_008_paragraph_title|page_0004_009_text,"(354, 1493, 1323, 1726)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة ٤ / ١ على القاضي عند تحديد آثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضاً مع النصوص / التشريعية ا
page_0005,5,page_0005_region_001,body_text,1,1,page_0005_001_text,"(501, 233, 1316, 287)",1.0,False,,,start_region,٢ـويُعدّ العرف الخأص والعرف المحلي مرجحين على العرفالعام
page_0005,5,page_0005_region_002,content_block,2,3,page_0005_002_paragraph_title|page_0005_003_text,"(342, 306, 1321, 546)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / التجاارية والمعارض والأسواقوالمخازن العامة / إن البورصات / والمستودعات وسائر المنشات المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة
page_0005,5,page_0005_region_003,content_block,4,5,page_0005_004_figure_title|page_0005_005_text,"(342, 806, 1327, 1734)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة٧ / ثعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تل
page_0006,6,page_0006_region_001,body_text,1,1,page_0006_001_text,"(338, 232, 1322, 1047)",1.0,False,,,start_region,ك مشروع النشر / لمشروع المخازن العامة / ممشروع المناجم والبترول / نمشروع الاشغال العقارية / سمشروع شراء العقارات لبيعها بربح / عمشروع وكالة اشغال / فـكل مشروع لإنشاء وشراء 
page_0006,6,page_0006_region_002,content_block,2,3,page_0006_002_paragraph_title|page_0006_003_text,"(337, 1063, 1315, 1240)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / وثُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن / اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها
page_0006,6,page_0006_region_003,content_block,4,5,page_0006_004_paragraph_title|page_0006_005_text,"(338, 1264, 1310, 1564)",1.0,False,,,new_region_at_layout_boundary|title_followed_by_body,المادة / ١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / ا
page_0007,7,page_0007_region_001,section_header,1,5,page_0007_001_header|page_0007_002_text|page_0007_003_text|page_0007_004_text|page_0007_005_text,"(338, 246, 1318, 1480)",0.5,True,region_covers_large_page_area|very_tall_multi_box_region,review_split_region,start_region|title_followed_by_body|body_continuation,الباب الثالثكف / ااتجار / الفصل الأول / التجار على وجه عام والأهلية المطلوبة للاتجار / المادة ٩ / ١-التجار‏ هم: / أ- الأشخاص الذين تكون مهنتهم القيام بأعمال تجارية. / ب-الشرك
