crop_id,page,page_number,order,label,layout_score,x1,y1,x2,y2,width,height,retried,paddle_text,paddle_score,paddle_n_lines,tess_text,tess_score,tess_n_lines,final_source,final_score,text,n_lines,crop_path
page_0003_001_doc_title,page_0003,3,1,doc_title,0.366880863904953,585,272,1067,490,482,218,True,"اهارة
ي

لا
ي",0.3365,5,"قانون التجارة
رقم *© للعام 0٠م‏",0.7338,2,tesseract,0.7338,"قانون التجارة
رقم *© للعام 0٠م‏",2,./crops\page_0003\page_0003_001_doc_title.png
page_0003_002_text,page_0003,3,2,text,0.26790839433670044,335,566,1241,823,906,257,False,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ٤١
الموافق٢١",0.8864,4,,,0,paddle,0.8864,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ٤١
الموافق٢١",4,./crops\page_0003\page_0003_002_text.png
page_0003_003_text,page_0003,3,3,text,0.28744637966156006,724,836,920,889,196,53,False,"يلى
يصدر",0.8812,2,,,0,paddle,0.8812,"يلى
يصدر",2,./crops\page_0003\page_0003_003_text.png
page_0003_004_text,page_0003,3,4,text,0.345867782831192,761,908,885,953,124,45,False,المادة,0.8894,1,,,0,paddle,0.8894,المادة,1,./crops\page_0003\page_0003_004_text.png
page_0003_005_text,page_0003,3,5,text,0.3900672197341919,532,970,1235,1028,703,58,False,تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه,0.9601,1,,,0,paddle,0.9601,تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه,1,./crops\page_0003\page_0003_005_text.png
page_0003_006_text,page_0003,3,6,text,0.3369048833847046,757,1045,884,1091,127,46,False,المادة٢,0.8931,1,,,0,paddle,0.8931,المادة٢,1,./crops\page_0003\page_0003_006_text.png
page_0003_007_text,page_0003,3,7,text,0.38956162333488464,330,1105,1303,1227,973,122,False,"يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم١٤٩ الصادر في
١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق",0.9329,2,,,0,paddle,0.9329,"يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم١٤٩ الصادر في
١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق",2,./crops\page_0003\page_0003_007_text.png
page_0003_008_paragraph_title,page_0003,3,8,paragraph_title,0.38648632168769836,753,1242,882,1287,129,45,True,المادة ٣,0.8474,1,المادة ؟,0.875,1,tesseract,0.875,المادة ؟,1,./crops\page_0003\page_0003_008_paragraph_title.png
page_0003_009_text,page_0003,3,9,text,0.46002689003944397,328,1301,1300,1429,972,128,False,"ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ
٢٠٨٤١",0.8938,2,,,0,paddle,0.8938,"ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ
٢٠٨٤١",2,./crops\page_0003\page_0003_009_text.png
page_0003_010_text,page_0003,3,10,text,0.44285377860069275,575,1447,1232,1504,657,57,True,مشق فيموافق ٢,0.6486,1,دمشق في 5778/1/79 ١ه‏ الموافق ل 7/4١1/١٠م.‏,0.58,1,paddle,0.6486,مشق فيموافق ٢,1,./crops\page_0003\page_0003_010_text.png
page_0003_011_text,page_0003,3,11,text,0.4450923204421997,363,1519,587,1633,224,114,False,"الجمهورية
رئيس
بشار الأسد",0.9753,3,,,0,paddle,0.9753,"الجمهورية
رئيس
بشار الأسد",3,./crops\page_0003\page_0003_011_text.png
page_0003_012_number,page_0003,3,12,number,0.8211987018585205,796,1774,826,1807,30,33,False,٣,0.9905,1,,,0,paddle,0.9905,٣,1,./crops\page_0003\page_0003_012_number.png
page_0004_001_text,page_0004,4,1,text,0.2569800019264221,740,686,920,755,180,69,False,أحكام عامة,0.9252,1,,,0,paddle,0.9252,أحكام عامة,1,./crops\page_0004\page_0004_001_text.png
page_0004_002_figure_title,page_0004,4,2,figure_title,0.41266581416130066,771,766,896,812,125,46,False,المادة,0.8703,1,,,0,paddle,0.8703,المادة,1,./crops\page_0004\page_0004_002_figure_title.png
