page,region_id,label,paddle_confidence,easyocr_confidence,reasons,paddle_text,easyocr_text,crop_path
page_0003,page_0003_raw_0005,image,0.7248,0.7418,layout_label_needs_semantic_role|image_label_but_document_has_no_real_images|has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree|very_large_layout_box,قانون التجارة / رقم ٣٣ للعام ٢٠٠٧ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١٧ه / الموافق١ / ي / ا / اع و ل ي يي ي ية / اة / ال قي ة يو ي ي للول و و ل ل ي / ليو ي ي ي و لي ة ع ي ٥ ة ة / المادة ,قانون التجارة / ٧ / رقم ٣٣ للعام / رئيس الجمهورية / بناءً على / أحكام / الدستور . / جلسته المنعقدة بتاريخ ١٧ ١١ ٤٢٨ / ا هر / وعلى ما أقره مجلس الشعب / في / الموافق ٢٧ ١١ ٢٠٠٧م / يصدر مايلي : / المادة / تطبق / أحكام / قانون التجارة المرفق اعتبارا من ت,layout_output\raw_box_crops\page_0003\page_0003_raw_0005.png
page_0003,page_0003_raw_0010,doc_title,0.9062,0.7065,layout_label_needs_semantic_role|has_easyocr_candidate_output|paddle_easyocr_disagree|very_large_layout_box,التجارة / قانون / رقم ٣٣ للعام ٢٠٠٧,قانون التجارة / ٧ / رقم ٣٣ للعام,layout_output\raw_box_crops\page_0003\page_0003_raw_0010.png
page_0003,page_0003_raw_0013,doc_title,0.4348,0.4357,layout_label_needs_semantic_role|has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,اإر / يا,قانون التجارة,layout_output\raw_box_crops\page_0003\page_0003_raw_0013.png
page_0003,page_0003_raw_0006,doc_title,0.7608,0.7325,layout_label_needs_semantic_role|has_easyocr_candidate_output|low_paddle_confidence|paddle_easyocr_disagree,رقم ٣٣ للعام ٢٠٠٧,٧ / رقم ٣٣ للعام / م,layout_output\raw_box_crops\page_0003\page_0003_raw_0006.png
page_0003,page_0003_raw_0018,formula,0.8317,,very_large_layout_box,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المنكور المرسوم ال,,layout_output\raw_box_crops\page_0003\page_0003_raw_0018.png
page_0003,page_0003_raw_0021,text,0.8842,,very_large_layout_box,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١ / الموافق٢,,layout_output\raw_box_crops\page_0003\page_0003_raw_0021.png
page_0003,page_0003_raw_0017,text,0.9653,0.6301,has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,رئيس الجمهورية,الجمهورية / -ئيس,layout_output\raw_box_crops\page_0003\page_0003_raw_0017.png
page_0003,page_0003_raw_0019,text,0.9253,0.6859,has_easyocr_candidate_output|paddle_easyocr_disagree,بناءَ على أحكام الدستور,أحكام / بناءً على / الدستور,layout_output\raw_box_crops\page_0003\page_0003_raw_0019.png
page_0003,page_0003_raw_0015,text,0.7939,,very_large_layout_box,وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١٧ / الموافق١,,layout_output\raw_box_crops\page_0003\page_0003_raw_0015.png
page_0003,page_0003_raw_0020,text,0.9674,0.9903,has_easyocr_candidate_output|paddle_easyocr_disagree|very_small_layout_box,يلي / يصدر,يصدر / يلي,layout_output\raw_box_crops\page_0003\page_0003_raw_0020.png
