page,region_id,reading_order_start,reading_order_end,confidence,needs_review,review_reasons,crop_path,text_preview
page_0003,page_0003_region_001,1,5,0.7306,True,region_covers_large_page_area|very_tall_multi_box_region|multiple_low_layout_scores,layout_output\region_crops\page_0003\page_0003_region_001.png,v3_predict / قانون التجارة / رقم ٣٣ للعام ٢٠٠٧ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١٧ه / الموافق٢١ / ي / ا / اعي  ي ي ل و ي / ل / الل و ة  و يي ي لوو  ي   و ل ل  ي / لو      يإ  و ول  ل 
page_0003,page_0003_region_002,6,9,0.8741,True,multiple_low_layout_scores,layout_output\region_crops\page_0003\page_0003_region_002.png,v3_predict / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢١ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢١ / /tm
page_0003,page_0003_region_003,10,12,0.7917,False,,layout_output\region_crops\page_0003\page_0003_region_003.png,v3_predict / تطبق أحكام قانون التجارة المرفق اعتبارً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ٤٩الصادر في / ١٩٤٩م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة ٣ / ينشر هذا القانون في الجريدة 
page_0003,page_0003_region_004,13,15,0.8861,True,many_boundary_boxes_in_one_region,layout_output\region_crops\page_0003\page_0003_region_004.png,v3_predict / التجارة / قانون ا / رقم ٣٣ للعام ٢٠٠٧ / التجارة / قانون ا / رقم ٣٣ للعام ٢٠٠٧ / /tmp/tmprv0tcahn.png / min / general / التجارة / قانون ا / رقم ٣٣ للعام ٢٠٠٧ / التجارة / قانون ا / رقم ٣٣ للعام ٢٠٠٧ / التجارة / قانون ا / رقم ٣٣ للعام ٢٠٠٧ 
page_0003,page_0003_region_005,16,18,0.2605,True,multiple_low_layout_scores,layout_output\region_crops\page_0003\page_0003_region_005.png,v3_predict / ل  ية / لو ول ل ليويل ور / a / اة / ل  ية / لو ول ل ليويل ور / a / اة / /tmp/tmpvim13muq.png / min / general / ل  ية / لو ول ل ليويل ور / a / اة / ل  ية / لو ول ل ليويل ور / a / اة / ل  ية / لو ول ل ليويل ور / a / اة / /tmp/tmpvim13muq.p
page_0003,page_0003_region_006,19,19,0.9661,True,single_boundary_region,layout_output\region_crops\page_0003\page_0003_region_006.png,v3_predict / المادة٣ / المادة٣ / /tmp/tmp5ihkv3xl.png / min / general / المادة٣ / المادة٣ / المادة٣ / /tmp/tmp5ihkv3xl.png / min / general / المادة٣
page_0003,page_0003_region_007,20,21,0.9705,False,,layout_output\region_crops\page_0003\page_0003_region_007.png,v3_predict / رئيس الجمهورية / بشار الأسد / رئيس الجمهورية / بشار الأسد / /tmp/tmpib0vlpix.png / min / general / رئيس الجمهورية / بشار الأسد / رئيس الجمهورية / بشار الأسد / رئيس الجمهورية / بشار الأسد / /tmp/tmpib0vlpix.png / min / general / رئيس الجم
page_0004,page_0004_region_001,1,2,0.9396,False,,layout_output\region_crops\page_0004\page_0004_region_001.png,v3_predict / قانون التجارة / الكتاب الأول / التجارة على وجهام والتجار والموسات التجارية المتجر / الباب الأول / أحكام عامة / المادة / قانون التجارة / الكتاب الأول / التجارة على وجهام والتجار والموسات التجارية المتجر / الباب الأول / أحكام عامة / المادة
page_0004,page_0004_region_002,3,4,0.924,False,,layout_output\region_crops\page_0004\page_0004_region_002.png,v3_predict / المادة / يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة / المادة / يتضمن هذا القانون القواعد المختصة بالأعم
page_0004,page_0004_region_003,5,6,0.9564,False,,layout_output\region_crops\page_0004\page_0004_region_003.png,v3_predict / المادة / ١إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / على أن تطبق هذه الأحكام لا يكون إلً على نسبة اتفاقها مع المبادى المختصة / بالقانون التجاري والعرف التجاري / المادة / ١إذا انتفى النص من هذا القانون 
