page,region_id,label,paddle_confidence,reasons,crop_path,paddle_text
page_0003,page_0003_raw_0005,image,0.7248,low_paddle_confidence,layout_output\raw_box_crops\page_0003\page_0003_raw_0005.png,قانون التجارة / رقم ٣٣ للعام ٢٠٠٧ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١٧ه / الموافق١ / ي / ا / اع و ل ي يي ي ية / اة / ال قي ة يو ي ي للول و و ل ل ي / ليو ي ي ي و لي ة ع ي ٥ ة ة / المادة ٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به ا
page_0003,page_0003_raw_0010,doc_title,0.9062,title_or_number_label|small_numeric_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0010.png,التجارة / قانون / رقم ٣٣ للعام ٢٠٠٧
page_0003,page_0003_raw_0013,doc_title,0.4348,low_paddle_confidence|title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0013.png,اإر / يا
page_0003,page_0003_raw_0006,doc_title,0.7608,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0006.png,رقم ٣٣ للعام ٢٠٠٧
page_0003,page_0003_raw_0017,text,0.9653,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0017.png,رئيس الجمهورية
page_0003,page_0003_raw_0019,text,0.9253,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0019.png,بناءَ على أحكام الدستور
page_0003,page_0003_raw_0020,text,0.9674,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0020.png,يلي / يصدر
page_0003,page_0003_raw_0011,text,0.9279,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0011.png,المادة
page_0003,page_0003_raw_0012,text,0.9069,small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0012.png,المادة٢
page_0003,page_0003_raw_0009,paragraph_title,0.9765,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0009.png,المادة٣
page_0003,page_0003_raw_0022,text,,empty_paddle_text|small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0022.png,
page_0003,page_0003_raw_0004,text,0.6468,low_paddle_confidence|small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0004.png,مشق فيهلموافق
page_0003,page_0003_raw_0003,text,0.9728,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0003.png,الجمهورية / رئيس / بشار الأسد
page_0003,page_0003_raw_0016,text,0.9703,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0016.png,الجمهورية / رئيس
page_0003,page_0003_raw_0014,text,0.9538,small_short_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0014.png,بشار الأسد
page_0003,page_0003_raw_0001,number,0.987,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0001.png,٣
page_0004,page_0004_raw_0034,text,0.8931,small_short_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0034.png,أحكام عامة
page_0004,page_0004_raw_0033,figure_title,0.9598,title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0033.png,المادة
page_0004,page_0004_raw_0028,paragraph_title,0.9832,title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0028.png,المادة
page_0004,page_0004_raw_0031,paragraph_title,0.8875,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0031.png,المادة ٣
page_0004,page_0004_raw_0030,paragraph_title,0.9309,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0030.png,المادة٤
page_0004,page_0004_raw_0029,number,0.7917,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0004\page_0004_raw_0029.png,3
page_0005,page_0005_raw_0040,text,0.9173,small_numeric_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0040.png,٢ويعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام
page_0005,page_0005_raw_0041,paragraph_title,0.9415,title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0041.png,المادة
page_0005,page_0005_raw_0036,image,0.94,small_short_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0036.png,الثاز / الباب / الأعمال التجارية
page_0005,page_0005_raw_0039,figure_title,0.8713,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0039.png,المادة٦
page_0005,page_0005_raw_0037,number,0.2692,low_paddle_confidence|title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0005\page_0005_raw_0037.png,.
page_0006,page_0006_raw_0062,text,0.5468,low_paddle_confidence|small_short_box|latin_noise,layout_output\raw_box_crops\page_0006\page_0006_raw_0062.png,يو يإ Oو يي
page_0006,page_0006_raw_0060,text,0.9628,small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0060.png,لـمشروع المخازن العامة
page_0006,page_0006_raw_0065,text,0.931,small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0065.png,ممشروع المناجم والبترول
page_0006,page_0006_raw_0059,text,0.9589,small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0059.png,نمشروع الاشغال العقارية
page_0006,page_0006_raw_0061,text,0.9105,small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0061.png,عمشروع وكالة اشغال
page_0006,page_0006_raw_0054,text,0.4992,low_paddle_confidence|small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0054.png,للل يي ي لوو يل ل ل لي ي لوي ي
page_0006,page_0006_raw_0049,paragraph_title,0.9493,title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0049.png,المادة
page_0006,page_0006_raw_0050,paragraph_title,0.9387,title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0050.png,المادة
page_0006,page_0006_raw_0046,text,0.533,low_paddle_confidence|small_short_box|latin_noise,layout_output\raw_box_crops\page_0006\page_0006_raw_0046.png,L
page_0006,page_0006_raw_0047,number,0.8425,title_or_number_label|small_short_box|small_numeric_box,layout_output\raw_box_crops\page_0006\page_0006_raw_0047.png,7
page_0007,page_0007_raw_0071,header,0.7299,low_paddle_confidence|title_or_number_label|small_short_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0071.png,ا / اي
page_0007,page_0007_raw_0073,text,0.9515,small_short_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0073.png,التجار
page_0007,page_0007_raw_0076,text,0.8848,small_short_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0076.png,الفصل الأول
page_0007,page_0007_raw_0074,text,0.9551,small_short_box,layout_output\raw_box_crops\page_0007\page_0007_raw_0074.png,المادة
