page,region_id,label,selected_engine,selection_reason,confidence,text_preview
page_0003,page_0003_raw_0005,image,easyocr,easyocr_preferred_for_small_article_or_number,0.7418,قانون التجارة / ٧ / رقم ٣٣ للعام / رئيس الجمهورية / بناءً على / أحكام / الدستور . / جلسته المنعقدة بتاريخ ١٧ ١١ ٤٢٨ / ا هر / وعلى ما أقره مجلس الشعب / في / الموافق ٢٧ ١١ ٢٠٠٧م / يصدر مايلي : / المادة / تطبق / أحكام / قانون التجارة المرفق اعتبارا من تاريخ سريانه . / المادة / يلغى اعتباراً / التاريخ /
page_0003,page_0003_raw_0010,doc_title,paddleocr_colab_rec_texts,paddle_kept,0.9062,التجارة / قانون / رقم ٣٣ للعام ٢٠٠٧
page_0003,page_0003_raw_0013,doc_title,easyocr,easyocr_better_low_paddle,0.4357,قانون التجارة
page_0003,page_0003_raw_0006,doc_title,easyocr,easyocr_preferred_for_small_article_or_number,0.7325,٧ / رقم ٣٣ للعام / م
page_0003,page_0003_raw_0018,formula,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8317,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المنكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦٢م وتعديلاته وجميع
page_0003,page_0003_raw_0021,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8842,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١ / الموافق٢
page_0003,page_0003_raw_0017,text,paddleocr_colab_rec_texts,paddle_kept,0.9653,رئيس الجمهورية
page_0003,page_0003_raw_0019,text,paddleocr_colab_rec_texts,paddle_kept,0.9253,بناءَ على أحكام الدستور
page_0003,page_0003_raw_0015,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.7939,وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١٧ / الموافق١
page_0003,page_0003_raw_0020,text,paddleocr_colab_rec_texts,paddle_kept,0.9674,يلي / يصدر
page_0003,page_0003_raw_0011,text,paddleocr_colab_rec_texts,paddle_kept,0.9279,المادة
page_0003,page_0003_raw_0007,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9566,تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه
page_0003,page_0003_raw_0012,text,easyocr,easyocr_preferred_for_small_article_or_number,0.9967,المادة
page_0003,page_0003_raw_0008,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9397,يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق
page_0003,page_0003_raw_0009,paragraph_title,easyocr,easyocr_preferred_for_small_article_or_number,0.9981,المادة
page_0003,page_0003_raw_0002,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.8991,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١
page_0003,page_0003_raw_0023,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9559,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ
page_0003,page_0003_raw_0022,text,easyocr,paddle_empty_easy_available,0.8559,١ ٤ ٢٠٠٨
page_0003,page_0003_raw_0004,text,easyocr,easyocr_better_low_paddle,0.7571,الموافق / _ / دمشق / ٢٩ ١ ٤٢٨ / اهر / ٩ ١٢ ٢٠٠٧م
page_0003,page_0003_raw_0003,text,paddleocr_colab_rec_texts,paddle_kept,0.9728,الجمهورية / رئيس / بشار الأسد
page_0003,page_0003_raw_0016,text,paddleocr_colab_rec_texts,paddle_kept,0.9703,الجمهورية / رئيس
page_0003,page_0003_raw_0014,text,paddleocr_colab_rec_texts,paddle_kept,0.9538,بشار الأسد
page_0003,page_0003_raw_0001,number,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.987,٣
page_0004,page_0004_raw_0032,image,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9485,التجارة / قانون / الكتاب الأول / التجارة على وم والجار والموات التجاالمتجر / الباب الأول / أحكام عامة / المادة
page_0004,page_0004_raw_0034,text,easyocr,easyocr_confidence_margin,0.9965,عامة / أحكام
page_0004,page_0004_raw_0033,figure_title,paddleocr_colab_rec_texts,paddle_kept,0.9598,المادة
page_0004,page_0004_raw_0024,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9593,يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة
page_0004,page_0004_raw_0028,paragraph_title,paddleocr_colab_rec_texts,paddle_kept,0.9832,المادة
page_0004,page_0004_raw_0027,text,paddleocr_colab_rec_texts,paddle_only_or_easy_not_run,0.9464,إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ـ على أن تطبق هذه الأحكام لا يكون إلأ على نسبة اتفاقها مع المبادئ المختصة / بالقانون التجاري والعرف التجاري
