page,region_id,reading_order_start,reading_order_end,confidence,empty,needs_review,review_reasons,low_confidence_line_count,crop_path,text_preview
page_0003,page_0003_region_001,1,5,0.7306,False,True,region_covers_large_page_area|very_tall_multi_box_region|multiple_low_layout_scores,6,layout_output\region_crops\page_0003\page_0003_region_001.png,قانون التجارة / رقم ٣٣ للعام ٢٠٠٧ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١٧ه / الموافق٢١ / ي / ا / اعي ي ي ل و ي / ل / الل و ة و يي ي لوو ي و ل ل ي / لو يإ و ول ل ع ي٥ ة ة / المادة ٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً 
page_0003,page_0003_region_002,6,9,0.8741,False,True,multiple_low_layout_scores,0,layout_output\region_crops\page_0003\page_0003_region_002.png,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢١
page_0003,page_0003_region_003,10,12,0.8493,False,False,,1,layout_output\region_crops\page_0003\page_0003_region_003.png,تطبق أحكام قانون التجارة المرفق اعتبارً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ٤٩الصادر في / ١٩٤٩م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة ٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٨٢
page_0003,page_0003_region_004,13,15,0.8861,False,True,many_boundary_boxes_in_one_region,0,layout_output\region_crops\page_0003\page_0003_region_004.png,التجارة / قانون ا / رقم ٣٣ للعام ٢٠٠٧
page_0003,page_0003_region_005,16,18,0.3256,False,True,multiple_low_layout_scores|low_clean_ocr_confidence,4,layout_output\region_crops\page_0003\page_0003_region_005.png,ل ية / لو ول ل ليويل ور / a / اة
page_0003,page_0003_region_006,19,19,0.9661,False,True,single_boundary_region,0,layout_output\region_crops\page_0003\page_0003_region_006.png,المادة٣
page_0003,page_0003_region_007,20,21,0.9705,False,False,,0,layout_output\region_crops\page_0003\page_0003_region_007.png,رئيس الجمهورية / بشار الأسد
page_0004,page_0004_region_001,1,2,0.9396,False,False,,0,layout_output\region_crops\page_0004\page_0004_region_001.png,قانون التجارة / الكتاب الأول / التجارة على وجهام والتجار والموسات التجارية المتجر / الباب الأول / أحكام عامة / المادة
page_0004,page_0004_region_002,3,4,0.924,False,False,,0,layout_output\region_crops\page_0004\page_0004_region_002.png,المادة / يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة
page_0004,page_0004_region_003,5,6,0.9564,False,False,,0,layout_output\region_crops\page_0004\page_0004_region_003.png,المادة / ١إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / على أن تطبق هذه الأحكام لا يكون إلً على نسبة اتفاقها مع المبادى المختصة / بالقانون التجاري والعرف التجاري
