chunk_id,chunk_type,article_number,page_start,page_end,document_title,book_title,bab_title,fasl_title,topic_title,box_count,metadata_box_count,skipped_duplicate_box_count,references,needs_review,review_reasons,text_preview
article_unknown_1,article,,3,3,قانون التجارة,,,,,1,1,0,,True,missing_first_article_number,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المنكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦٢م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٤٧٠٢ / م د م / يييي
article_unknown_2,article,,3,3,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,1,1,0,,True,missing_first_article_number,رئيس الجمهورية
article_unknown_3,article,,3,3,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,2,0,0,,True,missing_first_article_number,بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١٧ / الموافق١
article_unknown_4,article,,3,3,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,1,0,0,,True,missing_first_article_number,يصدر
article_unknown_5,article,,3,3,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,7,0,1,,True,missing_first_article_number,المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة٢ / يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / مشق فيهلموافق
article_unknown_6,article,,3,3,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,1,0,0,,True,missing_first_article_number,بشار الأسد
article_unknown_7,article,,4,4,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,1,0,0,,True,missing_first_article_number,التجارة
article_unknown_8,article,,4,4,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,1,0,0,,True,missing_first_article_number,عامة / أحكام
article_unknown_9,article,,4,4,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,2,0,0,,True,missing_first_article_number,المادة / يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة
article_unknown_10,article,,4,5,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,8,0,0,,True,missing_first_article_number,المادة / إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ـ على أن تطبق هذه الأحكام لا يكون إلأ على نسبة اتفاقها مع المبادئ المختصة بالقانون التجاري والعرف التجاري / المادة ٣ / إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمباديئ العدالة والإنصاف والاستقامة التجارية / المادة٤ / ١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضأً مع النصوص / التش
article_unknown_11,article,,5,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",,,,,9,0,1,,True,missing_first_article_number,المادة / إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر المنشأت المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة / الثاز / الباب / الأعمال التجارية / المادة٦ / ثُعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثانية / جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة عل
article_unknown_12,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,2,1,0,,True,missing_first_article_number,لـمشروع المخازن العامة / المناجم والبترول مشروع
article_unknown_13,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,2,0,0,,True,missing_first_article_number,نمشروع الاشغال العقارية / س مشروع شراء العقارات لبيعها بربح
article_unknown_14,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,5,0,1,,True,missing_first_article_number,عمشروع وكالة اشغال / فـكل مشروع لإنشاء وشراء بواخر مُعدّة للملاحة الداخلية أو الخارجية، بقصد / استثمارها تجارياً أو بيعها وكل بيع للبواخر المشتراة على هذا الوجه / صـ جميع الإرساليات البحرية وكل عملية تتعلّق بها كالشراء أو بيع لوازمها من / حبال وأشرعة ومؤن / للل يي ي لوو يل ل ل لي ي لوي ي / خوسائر العقود المختصة بالتجارة البحرية كالاتفاقات والمقاولات على أجور البحار / وبدل خدمتهم واستخدامهم للعمل على بواخر تجارية
article_unknown_15,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,1,0,0,,True,missing_first_article_number,المادة
article_unknown_16,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,1,0,0,,True,missing_first_article_number,وتُعدّ كذلك من الأعمال التجارية بحكم ماهيتها الذاتية، الأعمال التي يمكن اعتبارها مجانسة للأعمال المتقدمة لتشابه صفاتها وغاياتها
article_unknown_17,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,2,0,0,,True,missing_first_article_number|llm_normalized_text_used,المادة / ١جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعدّ تجارية أيضاً في نظر / القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس
article_unknown_18,article,,6,6,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,3,0,0,,True,missing_first_article_number,جميع الأعمال التي يقوم بها التاجر لحاجات تجارته ثعّ تجارية أيضاً في نظر القانون / ٢وعند قيام الشك، ثُعدّ أعمال التأجير صادرة منه لهذه الغاية إلآ إذا ثبت / العكس / 7
article_unknown_19,article,,7,7,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,2,0,0,,True,missing_first_article_number,الباب الثالث / التجار
article_unknown_20,article,,7,7,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,1,0,0,,True,missing_first_article_number|llm_normalized_text_used,الفصل الأول
article_unknown_21,article,,7,7,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,1,0,0,,True,missing_first_article_number,الفصل الأول / التجار على وجه عام والأهلية المطلوبة للاتجار / المادة ٩
article_unknown_22,article,,7,7,"رئيس الجمهورية
بناءَ على أحكام الدستور
وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١
الموافق٢",مشروع النشر,,,,1,0,1,,True,missing_first_article_number,المادة
