box,label,det_score,n_lines,ocr_conf,text,crop
0,number,0.552,0,0.0,,./layout_output_image\crops\box_000_number.png
1,header,0.521,1,0.097,لاجتبدر,./layout_output_image\crops\box_001_header.png
2,text,0.45,102,0.475,"مجلس إدارة الشركة الرنيس التنيذي للثركة الرنيس التنفيذي بكاذة انشطته الإئتاجبة فطاع النفل النطاع المساندآ . الخدمية الاهداف الإحداث (: تحدث في الجمهورية العربية السورية الملاا مسوكة ذات قااطة عامة سركة الشركة  السوربة بالكامل   للدولة الاستتلال 3PC ""نتمتع بالشخصية الاعتبارية دسشق الإداري سترها المادة معل كل - تحل الشركة المحدئة بمرجب دذا الشركات التابعة لها العامة للننمل الشركات العامة للتكرير مالها من حقوق وما عايها من التزامات أيتما وردت في اتفاقيات مصدفة بسوجب عفود ادكام نسوس العتود جميع بتس تسريعية تموص المالية   والإدارية والحفوق   والالتزامات والاتفافيات والفنية SFC بحل اسم الشركة السوربة للترول لل اسم الموسسة المامة كل من الصكوك التشريعية آبنما وردت بالقرارات السهنبة بسا لبا تتى إدارة المعاهد التتنية مر اذق عير سدقولة سن سمتلكات وأصول منتولة تحت إشراف الوزارة و إدارتها إلى تدقرقق مايلي : المادة بينة استتماربة احترافية ترتكز على مراحل الاستثسار ببن جميا الجودة   والتكامل الوطنى الشركه والحيات التابعة لها التطاع الربادي المساءلن الثذافبة تسكبن الدوكسة الرتبدة الممارسات الدولية إدارة القطاع واق تعزز العاز الدلسيآ للنئدط ج- دخرل الإفليمي و الدولى  التنافسية على المبلس العاز التنى اللصل المبام لب اأمبدى نسدما لابترول المالى المر رم التبمة لها ئى لل'! لاتكربر المدارس ا:بلاذ المرموم ملورل امناءة انذراع للكرن ازضل الاسراف المسدوى",./layout_output_image\crops\box_002_text.png
3,text,0.412,8,0.594,مجلس إدارة الشركة المبلس الرئيس التنفيذي : الرنيس التشفيذي للشركة الغاز بكاذة انشطته الإئتاجبة فطاع النفل النطاع المساندآ . الخدمية,./layout_output_image\crops\box_003_text.png
5,text,0.392,26,0.499,مرسوم رقم /٨٩ ١ لعام رقم ٨٩٨ ٧١ لعام بمو جب الآخره ١٤٤٧ ٥ ٢٩ ٢٥١٩ تاربخ رنيس الجمهوربة الإعذن ناغ عى وعلى الفانون رقم /٣ لعام وعلى المرسوم التشربعى رقم ٩٠ ٢ لعام تعدرلانه نديلاته رفم رقم ١٤١ اإ لدم وعلى وعلى مفتضبات المصلحة الوطنية بئ : برسم الفصل الاول التعريفات اربا احكام الدمنورى الذاذون ر٨ ا / لدام المرسرم,./layout_output_image\crops\box_005_text.png
6,text,0.391,4,0.501,الجمهوربة احها رلبس الشرع,./layout_output_image\crops\box_006_text.png
7,text,0.378,20,0.517,"الجسهوربة العرببة الصورية تعدث الفلاا مسوكة طابع دامة قاإطه سركة السوربة لابترول الشركة للدولة بالكامل الاستتلال بالسخصية الاعتبارية '3P0 دمشق الإداري اتصمدي ررا ""تمتع  السلى",./layout_output_image\crops\box_007_text.png
8,text,0.377,10,0.557,البار المادة الناج معاونا لرنيس الهينة العامة للطبران الملبة الإدارية بمن المدنى لشؤون الموى,./layout_output_image\crops\box_008_text.png
9,text,0.376,36,0.466,"رئاسة الجمهورية مرسوم رقم ٨٧٨ ١ لعام بموجب المرسوم رقم /٨٧ ١رلعام ٩٨٦ ٢٥ ٧ ٤ ١٤ ٥ تاربخ رنبس الجمهورية الإعلان بناء على يرسم مابلى : الما البري المادة اللقل معاونا لرنيس الهينة العامة للطبران الإدارية و الملبة ابتصرف اللققة الناجسة عن دذا المادآ النقل موازنة الهينة العاسة للطيران (: يشر هذا المرسوم ويبلغ من يازم لتنقيذه المادة رنبس الجمهوربة احما  الأول ٤ ٢٨ رب٤ احدام  الاسنورب بمن المدنى لشؤون الموى المرمدم الدنى الحرذ ,  اترع",./layout_output_image\crops\box_009_text.png
10,text,0.374,8,0.446,الناجسة عن حذا المرسوم [:تصرف المادد النقل للطيران موازنة الهينة العاسة الدنى العوب,./layout_output_image\crops\box_010_text.png
