chunk_id,chunk_type,article_number,article_number_raw,article_number_resolution,page_start,page_end,heading_box_id,box_count,body_box_count,metadata_box_count,skipped_duplicate_box_count,context_blocks,references,needs_review,review_reasons,text_preview
preamble,preamble,,,,3,3,,5,5,0,1,,3,False,,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المنكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦٢م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٤٧٠٢ / م د م / يييي / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١ / الموافق٢ / الجمهورية -ئيس / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١٧ / الموافق١ / يصدر يلي
article_unknown_1,article,,,missing_first_article_number,3,3,page_0003_raw_0011,2,1,3,0,قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م,,True,missing_first_article_number,المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه
article_unknown_2,article,,,missing_first_article_number,3,3,page_0003_raw_0012,2,1,0,0,قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م,,True,missing_first_article_number,المادة / يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق
article_unknown_3,article,,,missing_first_article_number,3,4,page_0003_raw_0009,8,7,0,1,قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م,,True,missing_first_article_number,المادة / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١ / ١ ٤ ٢٠٠٨ / الموافق / _ / دمشق / ٢٩ ١ ٤٢٨ / اهر / ٩ ١٢ ٢٠٠٧م / الجمهورية / رئيس / بشار الأسد / رئيس الجمهورية / بشار الأسد / أحكام عامة
article_unknown_4,article,,,missing_first_article_number,4,4,page_0004_raw_0033,2,1,1,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة",,True,missing_first_article_number,المادة / يتضمن هذا القانون القواعد المختصة بالأعمال التجارية التي يقوم بها أي / شخص مهما كانت صفته القانونية ويتضمن من جهة أخرى الأحكام التي تطبق / على الأشخاص الذين اتخذوا التجارة مهنة
article_unknown_5,article,,,missing_first_article_number,4,4,page_0004_raw_0028,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة",,True,missing_first_article_number,المادة / إذا انتفى النص من هذا القانون فتطبق على المواد التجارية أحكام القانون المدني / ـ على أن تطبق هذه الأحكام لا يكون إلأ على نسبة اتفاقها مع المبادئ المختصة / بالقانون التجاري والعرف التجاري
article_unknown_6,article,,,missing_first_article_number,4,4,page_0004_raw_0031,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة",,True,missing_first_article_number,المادة / إذا لم يوجد نص تشريعي يمكن تطبيقه، فللقاضي أن يسترشد بما استقر عليه / الاجتهاد القضائى وبمباديئ العدالة والإنصاف والاستقامة التجارية
article_unknown_7,article,,,missing_first_article_number,4,5,page_0004_raw_0030,3,2,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة",,True,missing_first_article_number,المادة / ١ على القاضي عند تحديد أثار العمل التجاري أن يطبق العرف المتوطد إلآإذا / ظهر أن المتعاقدين قصدوا مخالفة العرف أو كان العرف متعارضأً مع النصوص / التشريعية الإلزامية / ٢ويعدّ العرف الخأص والعرف المحلي مرجحين على العرف العام
article_unknown_8,article,,,missing_first_article_number,5,5,page_0005_raw_0041,2,1,0,0,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة",,True,missing_first_article_number,المادة / إن البورصات التجارية والمعارض والأسواق والمخازن العامة / والمستودعات وسائر المنشأت المُعدّة للتجارة تخضع على قدر الحاجة / لقوانين وأنظمة خاصة
article_unknown_9,article,,,missing_first_article_number,5,6,page_0005_raw_0039,10,9,1,8,"قانون التجارة ٧ رقم ٣٣ للعام || قانون التجارة || ٧ رقم ٣٣ للعام م || التجارة
قانون
الكتاب الأول
التجارة على وم والجار والموات التجاالمتجر
الباب الأول
أحكام عامة
المادة || الثاز / الباب / الأعمال التجارية",,True,missing_first_article_number,المادة / ثُعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أ شراء المنقولات المادية وغير المادية لأجل بيعها بربح ما سواء بيعت على حالتها / أم بعد شغلها أو تحويلها / ب شراء تلك الأشياء المنقولة نفسها لأجل تأجيرها أو استثجارها لأجل تأجيرها / ثانية / جالبيع أو الاستئجار أو التأجير ثانية للأشياء المشتراة أو المستأجرة على الوجه / المبين فيما تقدم / د أعمال الصرافة والمبادلة المالية ومعاملات المصارف العامة والخاصة / همشروع التوريد / و مشروع المصانع وإن يكن مقترناً باستثمار زراعي، إلآ إذا كان تحويل المواد يتم / بعمل يدوي بسيط / زـ مشروع النقل براً أو جواً أو على سطح الماء / حمشروع الوكالة والسمسرة / طـمشروع التأمين بأنواعه / يمشروع المشاهد العامة / تعدّ بحكم ماهيتها الذاتية أعمالاً تجارية / أـ شراء المنق
