page,region_id,label,selected_engine,confidence,selection_reason,crop_path,selected_text
page_0003,page_0003_raw_0005,image,paddleocr_colab_rec_texts,0.7248,image_label_treated_as_text_container_paddle_kept,layout_output\raw_box_crops\page_0003\page_0003_raw_0005.png,قانون التجارة / رقم ٣٣ للعام ٢٠٠٧ / رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١٧ه / الموافق١ / ي / ا / اع و ل ي يي ي ية / اة / ال قي ة يو ي ي للول و و ل ل ي / ليو ي ي ي و لي ة ع ي ٥ ة ة / المادة ٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٠٨٤١ / م٩ق في٤ه الموافق ٢ / رئيس الجمهورية / بشار الأسد
page_0003,page_0003_raw_0010,doc_title,easyocr,0.7065,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0010.png,قانون التجارة ٧ رقم ٣٣ للعام
page_0003,page_0003_raw_0013,doc_title,easyocr,0.4357,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0013.png,قانون التجارة
page_0003,page_0003_raw_0006,doc_title,easyocr,0.7325,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0006.png,٧ رقم ٣٣ للعام م
page_0003,page_0003_raw_0018,formula,paddleocr_colab_rec_texts,0.8317,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0018.png,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٢٨١١١٧ه / الموافق٢ / يصدر ما يلي / المادة / تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه / المادة / يلغى اعتباراً من التاريخ المنكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦٢م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق / المادة٣ / ينشر هذا القانون في الجريدة الرسمية ويعمل به اعت
page_0003,page_0003_raw_0021,text,paddleocr_colab_rec_texts,0.8842,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0021.png,رئيس الجمهورية / بناءَ على أحكام الدستور / وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١ / الموافق٢
page_0003,page_0003_raw_0017,text,easyocr,0.6301,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0017.png,الجمهورية -ئيس
page_0003,page_0003_raw_0019,text,paddleocr_colab_rec_texts,0.9253,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0019.png,بناءَ على أحكام الدستور
page_0003,page_0003_raw_0015,text,paddleocr_colab_rec_texts,0.7939,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0015.png,وعلى ما أقرّه مجلس الشعب في جلسته المنعقدة بتاريخ ١٤٨١١١٧ / الموافق١
page_0003,page_0003_raw_0020,text,easyocr,0.9903,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0020.png,يصدر يلي
page_0003,page_0003_raw_0011,text,easyocr,0.8126,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0011.png,المادة
page_0003,page_0003_raw_0007,text,paddleocr_colab_rec_texts,0.9566,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0007.png,تطبق أحكام قانون التجارة المرفق اعتباراً من تاريخ سريانه
page_0003,page_0003_raw_0012,text,easyocr,0.9967,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0012.png,المادة
page_0003,page_0003_raw_0008,text,paddleocr_colab_rec_texts,0.9397,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0008.png,يلغى اعتباراً من التاريخ المذكور المرسوم التشريعي رقم ١٤٩ الصادر في / ١٩٤٩٦م وتعديلاته وجميع الأحكام المخالفة لقانون التجارة المرفق
page_0003,page_0003_raw_0009,paragraph_title,easyocr,0.9981,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0009.png,المادة
page_0003,page_0003_raw_0002,text,paddleocr_colab_rec_texts,0.8991,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0002.png,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ / ٢٠٨٤١
page_0003,page_0003_raw_0023,text,paddleocr_colab_rec_texts,0.9559,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0023.png,ينشر هذا القانون في الجريدة الرسمية ويعمل به اعتباراً من تاريخ
page_0003,page_0003_raw_0022,text,easyocr,0.8559,paddle_empty_easyocr_available,layout_output\raw_box_crops\page_0003\page_0003_raw_0022.png,١ ٤ ٢٠٠٨
page_0003,page_0003_raw_0004,text,easyocr,0.7571,easyocr_used_for_low_paddle_confidence_body,layout_output\raw_box_crops\page_0003\page_0003_raw_0004.png,الموافق / _ / دمشق / ٢٩ ١ ٤٢٨ / اهر / ٩ ١٢ ٢٠٠٧م
page_0003,page_0003_raw_0003,text,paddleocr_colab_rec_texts,0.9728,paddle_kept_for_body_or_default,layout_output\raw_box_crops\page_0003\page_0003_raw_0003.png,الجمهورية / رئيس / بشار الأسد
page_0003,page_0003_raw_0016,text,easyocr,0.7599,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0016.png,رئيس الجمهورية
page_0003,page_0003_raw_0014,text,easyocr,0.6937,easyocr_preferred_for_title_like_or_small_box,layout_output\raw_box_crops\page_0003\page_0003_raw_0014.png,بشار الأسد
